epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,3470.08,0.75421,0.36463,0.89822,0.99744,1,0.995,0.84031,0.70888,0.29054,0.89288,0.002278,0.002278,0.002278
80,3511.64,0.75053,0.36117,0.89846,0.99676,1,0.995,0.8326,0.71527,0.29134,0.89458,0.002179,0.002179,0.002179
81,3547.38,0.74764,0.36291,0.89403,0.99323,1,0.99434,0.83667,0.71598,0.29674,0.8929,0.00208,0.00208,0.00208
82,3583.64,0.74383,0.35961,0.8983,0.99719,1,0.995,0.84043,0.71017,0.29242,0.89224,0.001981,0.001981,0.001981
83,3619.66,0.74904,0.35861,0.89776,0.99704,1,0.995,0.84075,0.71215,0.29417,0.89158,0.001882,0.001882,0.001882
84,3655.77,0.74471,0.35085,0.89988,0.99706,1,0.995,0.84725,0.70476,0.28525,0.89032,0.001783,0.001783,0.001783
85,3692.6,0.7361,0.34914,0.89318,0.9973,1,0.995,0.84349,0.7027,0.28554,0.88987,0.001684,0.001684,0.001684
86,3730.13,0.74581,0.35948,0.90006,0.99702,1,0.995,0.83908,0.70292,0.28385,0.88971,0.001585,0.001585,0.001585
87,3766.06,0.72939,0.34242,0.88893,0.99669,1,0.995,0.8414,0.70873,0.28324,0.8913,0.001486,0.001486,0.001486
88,3803.81,0.73824,0.34327,0.89068,0.99676,1,0.995,0.84025,0.69307,0.2753,0.88533,0.001387,0.001387,0.001387
89,3840.72,0.74545,0.35387,0.89861,0.99739,1,0.995,0.84264,0.70679,0.28303,0.88929,0.001288,0.001288,0.001288
90,3877.03,0.72777,0.33779,0.88282,0.99703,1,0.995,0.84057,0.70935,0.28337,0.88893,0.001189,0.001189,0.001189
91,3912.5,0.70035,0.30656,0.89885,0.99698,1,0.995,0.83415,0.70972,0.28178,0.89051,0.00109,0.00109,0.00109
92,3946.7,0.68511,0.29369,0.89712,0.99707,1,0.995,0.84074,0.70801,0.27794,0.89179,0.000991,0.000991,0.000991
93,3980.74,0.69102,0.30004,0.89929,0.99675,1,0.995,0.84011,0.70228,0.27717,0.8898,0.000892,0.000892,0.000892
94,4016.65,0.67996,0.29419,0.89653,0.99681,1,0.995,0.8405,0.69978,0.2775,0.88654,0.000793,0.000793,0.000793
95,4052.58,0.684,0.29402,0.8951,0.99663,1,0.995,0.84191,0.70253,0.27853,0.88762,0.000694,0.000694,0.000694
96,4088.55,0.67943,0.29131,0.88759,0.99723,1,0.995,0.84284,0.698,0.27671,0.88684,0.000595,0.000595,0.000595
97,4125.51,0.67702,0.28806,0.88785,0.99669,1,0.995,0.84411,0.70605,0.27322,0.88656,0.000496,0.000496,0.000496
98,4161.38,0.66608,0.28056,0.88972,0.99635,1,0.995,0.84089,0.69939,0.27328,0.88601,0.000397,0.000397,0.000397
99,4196.7,0.66428,0.28111,0.88693,0.99731,1,0.995,0.84606,0.69148,0.26847,0.88401,0.000298,0.000298,0.000298
100,4232.19,0.66489,0.28146,0.89053,0.99698,1,0.995,0.84297,0.69495,0.26901,0.88432,0.000199,0.000199,0.000199
