                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.74034,                0.36339,                0.89774,                0.81313,                0.30437,                0.90961,                0.99244,                0.99631,                  0.995,                0.80864,                0.71464,                0.29998,                0.89785,                0.73893,                0.19775,                0.90643,               0.002773,               0.002773,               0.002773
                     76,                0.73973,                0.35126,                0.90461,                0.81313,                0.30528,                0.91525,                0.99632,                0.98743,                0.99477,                0.81302,                0.72865,                0.30374,                0.89953,                0.73805,                0.19904,                0.90644,               0.002674,               0.002674,               0.002674
                     77,                0.74983,                0.35908,                0.90015,                0.82702,                0.30219,                 0.9112,                0.99509,                0.99558,                0.99493,                0.81298,                0.71609,                0.30846,                0.89686,                0.72885,                0.19611,                0.90444,               0.002575,               0.002575,               0.002575
                     78,                0.74912,                0.36257,                 0.9061,                0.82484,                0.32365,                0.91648,                0.99563,                0.99722,                  0.995,                0.81821,                0.71045,                0.29759,                  0.894,                0.72538,                0.19528,                0.90042,               0.002476,               0.002476,               0.002476
                     79,                0.73681,                0.35574,                0.89746,                0.82073,                0.30326,                0.90837,                0.99633,                0.99147,                0.99486,                0.81851,                0.70835,                0.29937,                0.89433,                0.72482,                0.19131,                0.90503,               0.002377,               0.002377,               0.002377
                     80,                0.73973,                 0.3531,                0.89815,                0.80627,                0.29774,                0.90987,                0.99254,                0.99053,                0.99479,                0.82089,                0.70468,                0.29854,                0.89377,                  0.723,                0.20096,                0.90186,               0.002278,               0.002278,               0.002278
                     81,                0.73993,                0.35206,                 0.8949,                 0.8061,                0.29604,                0.90546,                0.99316,                0.99398,                  0.995,                 0.8189,                0.69976,                0.29731,                0.88957,                0.71506,                0.19458,                0.89682,               0.002179,               0.002179,               0.002179
                     82,                0.74003,                0.34687,                0.90854,                0.81115,                0.28988,                0.91899,                0.98418,                0.99632,                 0.9948,                0.81333,                0.71284,                0.29123,                0.89266,                0.73074,                0.20113,                0.89851,                0.00208,                0.00208,                0.00208
                     83,                0.73594,                0.34687,                0.89769,                0.81117,                 0.3048,                0.90968,                0.99425,                0.99653,                  0.995,                0.82014,                0.69849,                0.28862,                0.89045,                0.73228,                0.19743,                0.90281,               0.001981,               0.001981,               0.001981
                     84,                 0.7289,                0.34713,                0.89971,                0.80374,                0.29252,                0.91211,                0.99574,                 0.9953,                  0.995,                0.81889,                0.70715,                 0.2963,                0.89204,                0.71758,                0.19149,                0.89649,               0.001882,               0.001882,               0.001882
                     85,                0.72238,                0.33971,                0.89705,                0.78673,                0.28359,                0.90596,                0.98613,                0.99323,                0.99477,                0.82155,                 0.7012,                0.28685,                0.89192,                0.70968,                0.19723,                0.89445,               0.001783,               0.001783,               0.001783
                     86,                0.72452,                0.34123,                0.89774,                 0.7952,                0.29244,                0.90729,                0.99334,                0.98939,                  0.995,                0.82502,                0.68801,                0.28715,                0.88536,                0.70712,                0.19434,                0.89228,               0.001684,               0.001684,               0.001684
                     87,                0.71467,                0.33554,                0.89522,                0.78242,                0.28243,                0.90519,                0.99617,                0.99432,                  0.995,                0.82202,                0.71267,                0.28978,                0.89387,                0.72114,                0.19239,                 0.8981,               0.001585,               0.001585,               0.001585
                     88,                0.70698,                0.33212,                0.88806,                 0.7681,                0.27556,                0.89891,                0.99469,                0.99795,                  0.995,                0.81713,                0.70867,                0.29024,                0.89096,                 0.7283,                0.19358,                 0.8972,               0.001486,               0.001486,               0.001486
                     89,                0.70977,                0.32758,                0.88812,                0.77446,                0.28031,                0.89789,                0.99556,                0.99315,                  0.995,                0.81974,                0.69852,                0.28526,                0.88707,                0.72126,                0.19319,                0.89351,               0.001387,               0.001387,               0.001387
                     90,                0.71938,                 0.3291,                 0.8948,                0.77686,                0.27652,                0.90376,                0.99596,                0.99128,                0.99486,                0.81962,                 0.7006,                0.28903,                0.88874,                0.70932,                0.19031,                 0.8935,               0.001288,               0.001288,               0.001288
                     91,                0.68321,                0.30327,                0.89955,                0.70591,                0.20497,                 0.9024,                0.99199,                0.99854,                  0.995,                0.81903,                0.69832,                0.29461,                0.88934,                0.71207,                0.18757,                0.89524,               0.001189,               0.001189,               0.001189
                     92,                0.68264,                0.29695,                0.89335,                0.70828,                0.20001,                0.89583,                0.99388,                      1,                  0.995,                0.81984,                0.69606,                0.28712,                0.88977,                0.71019,                0.19078,                0.89526,                0.00109,                0.00109,                0.00109
                     93,                0.67737,                0.29616,                0.89512,                0.69773,                0.20428,                0.89734,                 0.9946,                0.98176,                  0.995,                0.82019,                 0.6917,                0.28257,                 0.8867,                0.70807,                 0.1998,                0.89187,               0.000991,               0.000991,               0.000991
                     94,                0.67208,                0.29242,                0.89368,                0.69418,                0.20265,                 0.8976,                0.98948,                0.99577,                0.99479,                0.82186,                0.69132,                0.28037,                0.88771,                0.71251,                0.19443,                0.89452,               0.000892,               0.000892,               0.000892
                     95,                0.66958,                0.28931,                0.89648,                0.68545,                0.19946,                0.89754,                0.99604,                0.99146,                0.99479,                0.82593,                0.69247,                0.27922,                0.88772,                0.71347,                0.19937,                0.89401,               0.000793,               0.000793,               0.000793
                     96,                0.66482,                0.28518,                0.89031,                0.68569,                0.19678,                0.89274,                0.99437,                0.99911,                  0.995,                0.82169,                 0.6937,                 0.2808,                0.88863,                0.71144,                0.18976,                0.89514,               0.000694,               0.000694,               0.000694
                     97,                 0.6615,                0.28711,                 0.8871,                0.68339,                0.20096,                0.88958,                0.98778,                      1,                0.99486,                 0.8192,                0.69595,                0.27869,                0.88871,                0.72215,                0.19555,                0.89544,               0.000595,               0.000595,               0.000595
                     98,                0.65929,                0.28656,                0.88991,                0.67882,                0.19871,                0.89442,                0.99585,                0.99648,                  0.995,                 0.8229,                0.68341,                0.28201,                0.88561,                 0.7051,                0.19192,                0.89239,               0.000496,               0.000496,               0.000496
                     99,                0.66452,                0.28367,                0.88893,                0.68165,                0.19386,                0.89091,                0.99113,                0.99068,                0.99465,                0.81759,                0.69286,                0.27834,                0.88756,                0.71448,                0.20113,                0.89377,               0.000397,               0.000397,               0.000397
                    100,                0.65239,                0.27815,                0.88449,                0.66895,                0.18907,                0.88707,                0.98321,                0.99565,                0.99471,                0.81615,                0.69028,                0.27906,                0.88622,                0.70785,                0.19821,                0.89221,               0.000298,               0.000298,               0.000298
