               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.019399,           0.0040638,           0.0013826,             0.99635,             0.99978,               0.995,             0.80322,            0.015607,           0.0024792,          0.00061775,            0.004159,            0.004159,            0.004159
                  61,             0.01913,           0.0041608,           0.0014788,             0.99721,             0.99906,               0.995,             0.80801,            0.015748,           0.0024816,          0.00056066,             0.00406,             0.00406,             0.00406
                  62,            0.019112,           0.0042686,           0.0015648,             0.99679,                   1,               0.995,             0.81427,            0.015718,           0.0024959,          0.00057811,            0.003961,            0.003961,            0.003961
                  63,              0.0189,           0.0039814,           0.0012699,             0.99704,                   1,               0.995,              0.8054,            0.015537,           0.0024656,          0.00054616,            0.003862,            0.003862,            0.003862
                  64,            0.018548,           0.0041533,           0.0012777,             0.99527,                   1,               0.995,             0.80839,            0.015498,           0.0024637,          0.00049314,            0.003763,            0.003763,            0.003763
                  65,            0.018377,           0.0040114,           0.0010574,             0.99634,                   1,               0.995,             0.80929,            0.015931,            0.002475,          0.00046434,            0.003664,            0.003664,            0.003664
                  66,            0.018534,           0.0040903,           0.0013941,             0.99643,                   1,               0.995,             0.80211,            0.015329,            0.002461,          0.00051584,            0.003565,            0.003565,            0.003565
                  67,            0.018247,           0.0040385,           0.0014965,             0.99362,             0.99645,             0.99054,             0.81089,            0.015447,           0.0025121,          0.00047221,            0.003466,            0.003466,            0.003466
                  68,            0.018357,           0.0040177,           0.0013427,             0.99659,                   1,               0.995,             0.80867,            0.015563,            0.002494,          0.00048879,            0.003367,            0.003367,            0.003367
                  69,            0.018469,           0.0041451,           0.0012212,             0.99513,                   1,               0.995,             0.79293,            0.015956,            0.002561,          0.00047639,            0.003268,            0.003268,            0.003268
                  70,            0.017982,           0.0038998,           0.0010819,             0.99723,                   1,               0.995,              0.8129,            0.014938,           0.0024422,          0.00043472,            0.003169,            0.003169,            0.003169
                  71,            0.017647,           0.0040515,            0.001057,             0.99591,                   1,               0.995,             0.81577,            0.015035,           0.0024457,          0.00042526,             0.00307,             0.00307,             0.00307
                  72,             0.01749,           0.0039202,           0.0010316,             0.99641,                   1,               0.995,             0.80952,            0.015009,           0.0023944,          0.00040793,            0.002971,            0.002971,            0.002971
                  73,            0.017553,           0.0039809,          0.00098232,               0.997,                   1,               0.995,             0.80771,            0.015115,           0.0024329,          0.00042491,            0.002872,            0.002872,            0.002872
                  74,            0.017442,           0.0039944,           0.0012226,             0.99669,                   1,               0.995,             0.81551,            0.015079,           0.0024502,           0.0004425,            0.002773,            0.002773,            0.002773
                  75,            0.017746,           0.0038949,          0.00092138,             0.99723,                   1,               0.995,             0.80595,             0.01521,           0.0024204,          0.00038675,            0.002674,            0.002674,            0.002674
                  76,            0.017184,           0.0038136,          0.00088231,             0.99698,                   1,               0.995,             0.81352,            0.014845,           0.0024321,          0.00038907,            0.002575,            0.002575,            0.002575
                  77,             0.01723,           0.0038599,          0.00091151,             0.99656,                   1,               0.995,             0.80989,            0.015208,           0.0024608,           0.0003662,            0.002476,            0.002476,            0.002476
                  78,            0.016956,           0.0039524,           0.0010315,             0.99621,                   1,               0.995,             0.81628,            0.014768,           0.0024453,          0.00038441,            0.002377,            0.002377,            0.002377
                  79,            0.016935,           0.0038016,          0.00095109,              0.9963,                   1,               0.995,             0.81563,            0.014718,           0.0023944,          0.00036654,            0.002278,            0.002278,            0.002278
