                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.3578,                0.71867,                0.95183,                 0.9716,                0.99166,                0.99085,                 0.6411,                 1.3216,                0.58101,                0.92689,               0.003367,               0.003367,               0.003367
                     69,                 1.3078,                0.67554,                0.93047,                 0.9833,                0.99148,                0.99324,                0.63952,                 1.3101,                0.58484,                0.91823,               0.003268,               0.003268,               0.003268
                     70,                 1.3336,                 0.7042,                0.93302,                0.98512,                0.99196,                0.99387,                0.65464,                 1.3055,                0.57167,                0.92069,               0.003169,               0.003169,               0.003169
                     71,                 1.3246,                0.70208,                0.93442,                0.98552,                0.97673,                0.98893,                 0.6379,                 1.3144,                0.58436,                 0.9209,                0.00307,                0.00307,                0.00307
                     72,                 1.3144,                0.68586,                0.92852,                0.99054,                0.99422,                0.99409,                0.64853,                 1.3068,                0.55674,                0.91999,               0.002971,               0.002971,               0.002971
                     73,                  1.301,                0.67242,                0.93993,                0.99015,                0.99348,                 0.9943,                0.65389,                 1.2818,                0.56122,                0.91659,               0.002872,               0.002872,               0.002872
                     74,                 1.3038,                0.68906,                0.93213,                0.98722,                0.98887,                0.99173,                0.65214,                 1.3004,                0.57532,                0.91461,               0.002773,               0.002773,               0.002773
                     75,                 1.3164,                 0.6746,                0.93321,                0.99258,                0.98449,                 0.9947,                0.65701,                  1.271,                0.56038,                 0.9122,               0.002674,               0.002674,               0.002674
                     76,                 1.2827,                0.67194,                 0.9223,                0.98904,                0.98855,                0.99436,                0.65139,                 1.3034,                0.54708,                0.91855,               0.002575,               0.002575,               0.002575
                     77,                  1.287,                0.65903,                 0.9263,                0.97527,                0.98517,                0.99155,                0.66022,                 1.2796,                0.54702,                0.90828,               0.002476,               0.002476,               0.002476
                     78,                 1.3044,                0.66312,                0.93645,                0.98639,                0.99574,                0.99493,                0.65961,                 1.2911,                0.53853,                 0.9119,               0.002377,               0.002377,               0.002377
                     79,                 1.2868,                0.64912,                0.92917,                0.99104,                0.99106,                0.99449,                 0.6583,                 1.2972,                0.54922,                 0.9149,               0.002278,               0.002278,               0.002278
