epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,3040.95,1.32773,0.7025,0.9356,0.98693,0.99284,0.99466,0.65352,1.30986,0.57567,0.9218,0.002674,0.002674,0.002674
76,3085.03,1.31141,0.69319,0.93788,0.97464,0.99156,0.9936,0.63921,1.34869,0.58186,0.92685,0.002575,0.002575,0.002575
77,3128.12,1.31195,0.70182,0.929,0.99091,0.99086,0.99493,0.64757,1.29926,0.57414,0.91931,0.002476,0.002476,0.002476
78,3171.66,1.30486,0.68223,0.93134,0.96688,0.99502,0.99353,0.64274,1.33557,0.57369,0.92146,0.002377,0.002377,0.002377
79,3214.35,1.32772,0.69606,0.93,0.98096,0.98495,0.99222,0.65341,1.32476,0.56552,0.91996,0.002278,0.002278,0.002278
80,3257.85,1.29805,0.67885,0.93737,0.97853,0.98138,0.99305,0.65308,1.31704,0.55939,0.9166,0.002179,0.002179,0.002179
81,3302.49,1.31643,0.68833,0.94145,0.98677,0.9956,0.99213,0.6493,1.30066,0.55301,0.91923,0.00208,0.00208,0.00208
82,3346.96,1.29283,0.67826,0.9303,0.99009,0.98892,0.99452,0.65095,1.30766,0.55372,0.91766,0.001981,0.001981,0.001981
83,3389.84,1.28707,0.66286,0.92512,0.98838,0.98735,0.99398,0.66678,1.28932,0.54753,0.91221,0.001882,0.001882,0.001882
84,3433.87,1.30264,0.67992,0.92761,0.98738,0.98649,0.99467,0.65645,1.30931,0.55803,0.9176,0.001783,0.001783,0.001783
85,3477.22,1.30125,0.66644,0.93055,0.98768,0.99741,0.99493,0.65616,1.30679,0.54635,0.91433,0.001684,0.001684,0.001684
86,3519.79,1.26947,0.6504,0.92468,0.98531,0.99765,0.99484,0.65803,1.30503,0.54901,0.91448,0.001585,0.001585,0.001585
87,3562.75,1.28507,0.65527,0.92438,0.98877,0.99176,0.99466,0.65547,1.3075,0.54761,0.91632,0.001486,0.001486,0.001486
88,3607.59,1.26667,0.64901,0.9195,0.98902,0.99048,0.99427,0.65339,1.31471,0.54389,0.91815,0.001387,0.001387,0.001387
89,3650.2,1.27919,0.65333,0.92398,0.98722,0.98998,0.99405,0.66964,1.29706,0.52733,0.91726,0.001288,0.001288,0.001288
90,3693.13,1.25934,0.63728,0.91251,0.98976,0.98895,0.99461,0.65988,1.30756,0.54057,0.91569,0.001189,0.001189,0.001189
91,3737.71,1.24998,0.60948,0.93959,0.99037,0.99117,0.99478,0.66323,1.30981,0.53653,0.91699,0.00109,0.00109,0.00109
92,3781.39,1.2178,0.58585,0.93112,0.98992,0.98724,0.99052,0.66973,1.29065,0.54479,0.91289,0.000991,0.000991,0.000991
93,3826.34,1.22053,0.58364,0.93333,0.98752,0.99368,0.9927,0.66749,1.29169,0.5311,0.91093,0.000892,0.000892,0.000892
94,3868.94,1.20384,0.57827,0.93323,0.99738,0.99715,0.995,0.66682,1.28492,0.5233,0.91031,0.000793,0.000793,0.000793
95,3913.13,1.21035,0.59039,0.92861,0.99671,0.99693,0.995,0.6678,1.27743,0.51591,0.90851,0.000694,0.000694,0.000694
96,3956.88,1.19945,0.57163,0.92624,0.99036,0.99119,0.99485,0.66739,1.28232,0.51331,0.91057,0.000595,0.000595,0.000595
97,3999.65,1.19074,0.56299,0.93113,0.99651,0.99189,0.99485,0.66597,1.28879,0.51201,0.91035,0.000496,0.000496,0.000496
98,4042.12,1.21171,0.57078,0.92971,0.99746,0.99578,0.995,0.67271,1.28614,0.51156,0.9092,0.000397,0.000397,0.000397
99,4084.99,1.19641,0.56071,0.92695,0.99759,0.99705,0.995,0.67395,1.28299,0.51197,0.90912,0.000298,0.000298,0.000298
100,4128.01,1.17507,0.5494,0.92274,0.99352,0.99319,0.9919,0.6671,1.27762,0.5099,0.90682,0.000199,0.000199,0.000199
