                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.4282,                0.78289,                0.97577,                 1.5601,                0.80954,                0.97562,                0.95669,                0.95762,                0.98585,                0.62309,                 1.3357,                0.62257,                0.93111,                 1.3711,                  0.437,                0.94712,               0.004753,               0.004753,               0.004753
                     56,                 1.3819,                0.77086,                0.95893,                 1.5291,                0.79835,                0.96397,                0.93943,                0.94754,                0.98515,                0.61728,                 1.3496,                0.60911,                0.93745,                 1.4129,                0.46559,                0.95247,               0.004654,               0.004654,               0.004654
                     57,                 1.4038,                0.76829,                0.95872,                 1.5391,                0.81019,                0.95863,                0.93187,                0.95453,                0.98429,                0.62013,                 1.3385,                0.62249,                0.93489,                 1.3786,                0.45053,                0.95046,               0.004555,               0.004555,               0.004555
                     58,                 1.3936,                0.76092,                 0.9684,                 1.5189,                0.78974,                0.96472,                0.97428,                0.93055,                0.98485,                0.61734,                 1.3512,                0.60583,                0.93761,                 1.3887,                0.42345,                0.95096,               0.004456,               0.004456,               0.004456
                     59,                  1.417,                0.77446,                0.96131,                 1.5371,                 0.7922,                0.96199,                0.96243,                0.94231,                0.98651,                0.61802,                 1.3307,                0.59564,                0.92637,                  1.374,                0.43104,                0.94607,               0.004357,               0.004357,               0.004357
                     60,                 1.4136,                0.77456,                0.95614,                  1.539,                0.77788,                0.95888,                0.96918,                0.93948,                0.98335,                 0.6176,                  1.346,                0.62089,                0.93433,                 1.3889,                0.41418,                0.94847,               0.004258,               0.004258,               0.004258
                     61,                 1.3777,                0.75985,                0.96146,                 1.5045,                0.77315,                0.96321,                0.95054,                0.95827,                0.98772,                0.62714,                 1.3323,                0.60462,                0.92422,                 1.3718,                0.42553,                0.94573,               0.004159,               0.004159,               0.004159
                     62,                 1.4018,                0.78237,                 0.9532,                 1.5252,                 0.8022,                0.95256,                0.94755,                 0.9737,                0.98821,                0.62274,                 1.3142,                0.59242,                0.92496,                 1.3612,                0.43653,                0.94254,                0.00406,                0.00406,                0.00406
                     63,                 1.4039,                0.75642,                0.96136,                 1.5252,                0.75967,                0.96229,                0.94326,                0.96685,                0.98388,                0.61998,                 1.3318,                 0.6115,                0.93297,                 1.3756,                0.42113,                0.94689,               0.003961,               0.003961,               0.003961
                     64,                 1.3712,                0.73972,                0.94659,                  1.498,                0.74344,                0.94808,                0.98861,                0.94313,                0.98899,                 0.6292,                 1.3171,                0.57612,                0.92791,                 1.3796,                0.39153,                0.94651,               0.003862,               0.003862,               0.003862
                     65,                 1.3761,                 0.7353,                0.94986,                 1.5011,                0.73366,                0.95215,                0.97963,                0.96792,                0.99264,                0.62603,                 1.3168,                0.58694,                0.92289,                  1.379,                 0.3891,                0.94078,               0.003763,               0.003763,               0.003763
                     66,                 1.3672,                0.72495,                0.94416,                 1.4983,                0.74123,                0.94845,                0.94965,                0.94171,                0.98559,                0.61642,                 1.3209,                0.59342,                0.92775,                 1.3739,                0.43234,                0.94659,               0.003664,               0.003664,               0.003664
                     67,                 1.3594,                0.73448,                0.94787,                 1.4921,                0.73051,                0.95018,                0.96658,                0.92917,                0.98453,                0.61938,                 1.2962,                0.59212,                0.92166,                 1.3736,                0.40528,                0.94651,               0.003565,               0.003565,               0.003565
                     68,                 1.3879,                0.73409,                0.96053,                 1.5122,                0.72692,                0.95799,                0.93314,                0.94797,                0.98305,                0.60599,                 1.3375,                  0.601,                0.93026,                 1.3886,                0.41478,                0.95063,               0.003466,               0.003466,               0.003466
                     69,                 1.3346,                0.70122,                0.93934,                 1.4536,                0.69572,                0.94029,                0.94465,                0.95612,                0.98494,                0.62048,                 1.3327,                0.60114,                0.92337,                 1.3789,                0.40192,                0.94315,               0.003367,               0.003367,               0.003367
                     70,                 1.3578,                0.71412,                  0.943,                 1.4786,                0.72251,                0.93891,                0.96008,                0.94091,                 0.9831,                0.61498,                  1.353,                0.61969,                0.93115,                 1.4101,                0.41437,                0.95138,               0.003268,               0.003268,               0.003268
                     71,                 1.3495,                0.72378,                0.94517,                 1.4762,                0.72378,                0.94499,                 0.9568,                0.97353,                0.98636,                0.62325,                 1.3062,                0.59775,                0.92197,                 1.3468,                0.40738,                0.94162,               0.003169,               0.003169,               0.003169
                     72,                 1.3334,                0.69967,                0.93532,                 1.4619,                0.70788,                0.94216,                0.97404,                0.94227,                0.98469,                0.62345,                 1.3307,                 0.5813,                0.92435,                 1.3776,                0.40445,                0.94206,                0.00307,                0.00307,                0.00307
                     73,                 1.3177,                0.69483,                0.94738,                 1.4389,                0.71015,                0.94547,                0.98682,                0.96925,                 0.9935,                0.62699,                  1.317,                0.57772,                0.93095,                 1.3791,                0.38729,                0.95165,               0.002971,               0.002971,               0.002971
                     74,                 1.3214,                0.70114,                0.93757,                 1.4601,                0.71399,                0.94127,                0.97657,                0.95628,                0.99082,                0.62406,                 1.3231,                0.57975,                0.92233,                 1.3746,                0.41082,                0.94148,               0.002872,               0.002872,               0.002872
                     75,                  1.326,                0.69624,                0.93858,                 1.4309,                0.71045,                0.93621,                0.97558,                0.95754,                0.99191,                0.63103,                 1.3168,                0.55774,                0.92144,                  1.379,                0.37995,                0.94111,               0.002773,               0.002773,               0.002773
                     76,                 1.3069,                0.68517,                0.92987,                 1.4285,                0.68695,                0.93367,                 0.9717,                0.96071,                0.98767,                0.63299,                 1.3138,                0.55845,                0.92237,                 1.3461,                0.38359,                0.93701,               0.002674,               0.002674,               0.002674
                     77,                 1.3184,                0.68619,                0.93304,                 1.4433,                0.68102,                0.93641,                0.97393,                0.97362,                0.99161,                0.64454,                 1.2785,                0.55892,                 0.9168,                 1.3218,                0.37618,                0.93296,               0.002575,               0.002575,               0.002575
                     78,                 1.3243,                0.67519,                0.94425,                 1.4419,                0.68608,                0.94454,                0.97097,                 0.9808,                0.98931,                0.63199,                 1.3034,                0.56291,                0.91889,                 1.3562,                0.37452,                0.93758,               0.002476,               0.002476,               0.002476
                     79,                 1.3204,                0.66889,                0.93682,                 1.4494,                0.64324,                0.94076,                0.95357,                0.98522,                 0.9903,                0.63191,                 1.3121,                0.57279,                0.91909,                 1.3641,                0.37702,                0.93826,               0.002377,               0.002377,               0.002377
                     80,                 1.3032,                0.66662,                0.93867,                 1.4281,                0.65199,                   0.94,                  0.969,                0.95932,                0.99053,                0.63446,                 1.3018,                0.56108,                0.91506,                 1.3658,                0.36962,                0.93807,               0.002278,               0.002278,               0.002278
                     81,                 1.3103,                0.66157,                0.93857,                 1.4316,                0.64776,                0.94114,                0.98169,                0.95577,                0.99208,                0.63772,                  1.283,                 0.5435,                0.91129,                 1.3439,                0.35325,                0.93331,               0.002179,               0.002179,               0.002179
                     82,                 1.2878,                0.65935,                0.93275,                 1.4056,                0.65993,                0.93182,                0.97586,                0.97998,                0.99373,                0.63224,                 1.2925,                0.55385,                0.91754,                 1.3448,                0.37419,                0.93647,                0.00208,                0.00208,                0.00208
                     83,                 1.2877,                0.64725,                0.93154,                 1.3998,                0.62422,                0.93294,                0.98422,                0.98569,                0.99394,                0.63603,                 1.2783,                0.54639,                0.91663,                 1.3317,                0.35694,                0.93427,               0.001981,               0.001981,               0.001981
                     84,                  1.299,                0.64854,                0.93843,                 1.4103,                0.63825,                0.94114,                0.98733,                0.96505,                0.99143,                 0.6303,                 1.2913,                0.54501,                 0.9188,                 1.3471,                0.36939,                0.93782,               0.001882,               0.001882,               0.001882
                     85,                  1.287,                0.64851,                0.92311,                 1.4042,                0.63928,                0.92775,                0.97642,                0.97245,                0.98961,                0.62668,                 1.3018,                 0.5569,                0.92007,                 1.3583,                0.36788,                0.94176,               0.001783,               0.001783,               0.001783
                     86,                 1.2968,                 0.6484,                0.92747,                 1.4073,                0.61432,                0.92941,                0.98768,                0.97173,                0.99279,                0.64268,                 1.2888,                0.53629,                0.91473,                 1.3354,                 0.3578,                0.93366,               0.001684,               0.001684,               0.001684
                     87,                 1.2559,                0.63849,                0.92755,                 1.3706,                0.62402,                0.92955,                0.98342,                0.95254,                0.98867,                0.63601,                 1.2739,                0.53556,                  0.915,                 1.3164,                0.35067,                0.93223,               0.001585,               0.001585,               0.001585
                     88,                 1.2779,                0.64066,                0.92865,                 1.3925,                0.60645,                0.93313,                0.96676,                  0.979,                0.99153,                0.64431,                 1.2698,                0.53719,                0.91261,                 1.3115,                0.35807,                0.93045,               0.001486,               0.001486,               0.001486
                     89,                 1.2664,                0.62629,                0.92513,                 1.3688,                0.58833,                0.92139,                0.96766,                0.96527,                0.99167,                0.64043,                 1.2773,                 0.5316,                0.91251,                 1.3301,                0.36022,                0.93251,               0.001387,               0.001387,               0.001387
                     90,                 1.2653,                0.62542,                0.93236,                 1.3885,                0.61939,                0.93516,                0.97072,                0.98534,                0.99308,                0.64155,                 1.2607,                0.52024,                0.90847,                 1.3158,                0.35532,                0.92868,               0.001288,               0.001288,               0.001288
                     91,                 1.2319,                 0.5982,                0.94718,                 1.3203,                0.53239,                0.94396,                  0.978,                0.94413,                0.98814,                0.64191,                 1.2657,                0.54467,                0.90906,                 1.3059,                0.37358,                0.92794,               0.001189,               0.001189,               0.001189
                     92,                 1.2122,                0.58129,                0.93345,                 1.3068,                0.51536,                0.93415,                0.97694,                0.95119,                0.98774,                 0.6409,                 1.2598,                0.53589,                0.90889,                 1.3039,                0.37383,                0.92623,                0.00109,                0.00109,                0.00109
                     93,                 1.2091,                0.57259,                0.93238,                 1.2854,                0.49765,                0.93168,                0.98544,                 0.9758,                 0.9938,                0.64723,                  1.259,                0.52254,                0.90772,                 1.3092,                0.33976,                0.92687,               0.000991,               0.000991,               0.000991
                     94,                 1.2142,                0.58068,                0.93292,                 1.3003,                0.50036,                0.93328,                0.98246,                0.96431,                0.99129,                0.64456,                 1.2585,                 0.5235,                0.90847,                 1.3171,                 0.3545,                0.92733,               0.000892,               0.000892,               0.000892
                     95,                 1.2034,                0.57062,                0.93303,                 1.2898,                0.49343,                0.93333,                0.97665,                0.98931,                0.99341,                0.64956,                 1.2567,                 0.5152,                0.90662,                  1.289,                0.34997,                0.92129,               0.000793,               0.000793,               0.000793
                     96,                 1.1902,                0.56227,                0.93528,                 1.2822,                0.49545,                0.93708,                0.96277,                0.98895,                0.99416,                0.64224,                 1.2474,                0.50569,                0.90477,                  1.295,                0.35653,                0.92315,               0.000694,               0.000694,               0.000694
                     97,                 1.1822,                0.54701,                0.92742,                  1.276,                0.48303,                0.93203,                0.97294,                0.97466,                0.99296,                0.65145,                 1.2558,                0.50549,                0.90539,                 1.2943,                0.35244,                0.92332,               0.000595,               0.000595,               0.000595
                     98,                 1.1781,                0.54806,                0.92718,                 1.2602,                0.48463,                0.92536,                0.95396,                0.97927,                0.99205,                0.64896,                  1.257,                0.50868,                0.90643,                 1.2888,                0.36121,                0.92412,               0.000496,               0.000496,               0.000496
                     99,                   1.19,                0.54993,                0.93043,                   1.27,                0.48367,                 0.9292,                0.96609,                0.97411,                0.99265,                 0.6491,                 1.2547,                0.50171,                0.90709,                 1.2839,                0.35967,                0.92355,               0.000397,               0.000397,               0.000397
                    100,                 1.1706,                0.54246,                0.92588,                 1.2526,                0.48195,                0.92822,                0.96292,                0.98691,                0.99309,                0.65631,                 1.2538,                0.50289,                0.90519,                 1.2846,                0.35218,                0.92183,               0.000298,               0.000298,               0.000298
