               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.030814,           0.0046511,           0.0054321,             0.97615,             0.97035,             0.98443,             0.59759,            0.025285,           0.0028575,           0.0016406,            0.002773,            0.002773,            0.002773
                  75,            0.030945,           0.0044241,            0.005131,             0.98225,             0.96604,             0.98992,             0.58971,            0.024824,           0.0028504,           0.0014957,            0.002674,            0.002674,            0.002674
                  76,            0.030723,           0.0044697,            0.005352,               0.971,             0.97623,             0.98878,             0.59537,            0.024781,           0.0028694,           0.0014364,            0.002575,            0.002575,            0.002575
                  77,             0.03142,           0.0044215,            0.004742,             0.97452,             0.96907,             0.99061,             0.59213,            0.025851,           0.0028379,           0.0014342,            0.002476,            0.002476,            0.002476
                  78,            0.031308,           0.0043804,           0.0051621,             0.97504,             0.95864,             0.98224,             0.58422,            0.025735,           0.0028396,           0.0020036,            0.002377,            0.002377,            0.002377
                  79,             0.03102,           0.0045075,           0.0052849,             0.97142,             0.97675,             0.98648,             0.59894,            0.025077,           0.0028316,            0.001171,            0.002278,            0.002278,            0.002278
                  80,            0.030685,           0.0046054,           0.0052875,             0.97705,             0.98164,             0.99038,             0.58952,            0.025224,           0.0027916,           0.0010943,            0.002179,            0.002179,            0.002179
                  81,            0.031287,           0.0045507,            0.004775,             0.97778,             0.97717,             0.98572,             0.60377,            0.024603,           0.0027988,           0.0011896,             0.00208,             0.00208,             0.00208
                  82,            0.030216,           0.0044333,           0.0046425,             0.97808,             0.98268,             0.98824,              0.5979,            0.024241,           0.0027825,          0.00092628,            0.001981,            0.001981,            0.001981
                  83,            0.030117,           0.0043728,           0.0045794,             0.98017,             0.97929,             0.98776,             0.60818,            0.024771,           0.0028026,           0.0010228,            0.001882,            0.001882,            0.001882
                  84,            0.030032,           0.0043341,           0.0045533,             0.98233,             0.98756,             0.99046,             0.60834,            0.025114,           0.0027805,          0.00095473,            0.001783,            0.001783,            0.001783
                  85,             0.02925,           0.0043308,            0.004175,             0.98013,             0.98424,             0.98812,             0.60222,            0.025129,           0.0027921,          0.00090226,            0.001684,            0.001684,            0.001684
                  86,            0.029551,           0.0043907,           0.0042411,               0.985,             0.98827,             0.99062,             0.59991,             0.02494,           0.0027858,          0.00088782,            0.001585,            0.001585,            0.001585
